Case ID,Activity,Resource,Complete Timestamp,Worker ID,original_index,End Time,Error Text,Extracted Info,Category
Case 1,Turning & Milling,Machine 4,2012/01/30 05:43:00.000,ID4932,0,2012/01/30 05:43,,,
Case 1,Turning & Milling,Machine 4,2012/01/30 06:42:00.000,ID4932,1,2012/01/30 06:42,,,
Case 1,Turning & Milling,Machine 4,2012/01/30 07:21:00.000,ID4167,2,2012/01/30 07:21,,,
Case 1,Turning & Milling,Machine 4,2012/01/30 10:58:00.000,ID4167,3,2012/01/30 10:58,,,
Case 1,Laser Marking,Machine 7,2012/02/01 08:27:00.000,ID0998,5,2012/02/01 08:27,,,
Case 1,Lapping,Machine 1,2012/02/14 01:15:00.000,ID4882,6,2012/02/14 01:15,,,
Case 1,Lapping,Machine 1,2012/02/14 01:15:00.000,ID4882,7,2012/02/14 01:15,"During the Round Grinding activity on Machine 12 at exactly 12:06 PM on March 14, 2012, I was worker 4872 carrying out my duties. As I progressed with the grinding process, I noticed an unusual noise coming from the machine that became more audible over time. The component started to heat up excessively and the grinding wheel seemed to falter, producing a grind pattern that was inconsistent and rough. Despite no alerts from the system, it was apparent that something was amiss with the machinery. I immediately stopped the process due to the abnormal conditions and alerted my supervisor for an inspection and correction of the issue.","{
  ""Activity"": ""Machine 12"",
  ""Machine"": ""Machine 12"",
  ""Error time and Error date"": ""2012/03/14 12:06"",
  ""WorkerID"": ""4872""
}",Part Misalignment
Case 1,Lapping,Machine 1,2012/02/14 10:20:00.000,ID4882,8,2012/02/14 10:20,"During the Lapping process on Machine 1 at 1:15 AM on 14th February 2012, I, worker ID4882, observed an issue. Initially, everything seemed normal, but as the process progressed, I noticed that one part wasn't fitting snugly in its holder, causing an uneven lapping pattern to develop on the surface of the component. By the end of the cycle, there was a clear distortion on the finished part, despite no system alerts. I immediately stopped the machine and reported the matter to my supervisor for further inspection and necessary corrections.","{
""Activity"": ""Lapping"",
""Machine"": ""Machine 1"",
""Error time and Error date"": ""2012/02/14 09:38"",
""WorkerID"": ""ID4882""
}",Part Misalignment
Case 1,Lapping,Machine 1,2012/02/14 09:38:00.000,ID4882,9,2012/02/14 09:38,"On the morning of 2012/03/08 at approximately 06:51, during the Turning & Milling process on Machine 8, an unexpected issue arose. My worker ID is ID0997. As I was overseeing the operation, I noticed an unusual heat emission from the machine. The cooling system seemed to be malfunctioning, as the coolant reservoir was depleting rapidly, and the temperature gauge was consistently high. This led to a significant slowdown in production due to the prolonged periods of machine downtime required for cooling system maintenance. I immediately notified the supervisor about the issue and ensured that the machine was turned off for safety reasons and to prevent any further damage. The supervisor was informed to initiate necessary repairs and precautions before resuming work on Machine 8.","{
    ""Activity"": ""Lapping"",
    ""Machine"": ""Machine 1"",
    ""Error time and Error date"": ""2012/02/14 09:38"",
    ""WorkerID"": ""ID4882""
}",Power Outage
Case 1,Round Grinding,Machine 3,2012/02/14 13:37:00.000,ID4445,10,2012/02/14 13:37,,,
Case 1,Round Grinding,Machine 3,2012/02/14 15:27:00.000,ID4445,11,2012/02/14 15:27,,,
Case 10,Turning & Milling,Machine 9,2012/01/17 11:05:00.000,ID3846,16,2012/01/17 11:05,"On January 17, 2012 at 11:05, during the Turning & Milling activity on Machine 9, ID3846 noticed an issue. The machine was running smoothly initially, but a loud grinding noise suddenly occurred. I inspected the situation and discovered that the moving parts appeared to be rubbing against each other excessively due to lack of lubrication. This led to overheating and eventually caused a component to seize. Smoke emanated from the machine, and the operation had to be halted immediately to prevent further damage. I reported the incident to my supervisor for necessary maintenance and parts replacement.","{
""Activity"": ""Turning & Milling"",
""Machine"": ""Machine 9"",
""Error time and Error date"": ""2012/01/17 11:05"",
""WorkerID"": ""ID3846""
}",Part Misalignment
Case 10,Turning & Milling,Machine 9,2012/01/17 20:01:00.000,ID4132,18,2012/01/17 20:01,,,
Case 10,Turning & Milling,Machine 9,2012/01/17 23:43:00.000,ID4132,19,2012/01/17 23:43,,,
Case 10,Turning & Milling,Machine 9,2012/01/18 06:32:00.000,ID4794,20,2012/01/18 06:32,,,
