Case ID,Activity,Resource,Complete Timestamp,Worker ID,original_index,End Time,Error Text,Extracted Info,Category
Case 1,Turning & Milling,Machine 4,2012/01/30 05:43:00.000,ID4932,0,2012/01/30 05:43,,,
Case 1,Turning & Milling,Machine 4,2012/01/30 06:42:00.000,ID4932,1,2012/01/30 06:42,,,
Case 1,Turning & Milling,Machine 4,2012/01/30 07:21:00.000,ID4167,2,2012/01/30 07:21,,,
Case 1,Turning & Milling,Machine 4,2012/01/30 10:58:00.000,ID4167,3,2012/01/30 10:58,"On 30th January 2012 at 10:58 during the Turning & Milling activity on Machine 4, I was operator ID4167. Initially, everything seemed normal, but then I noticed an unusual occurrence with the cutting tool's efficiency. The machine began to struggle, producing a louder than usual noise and emitting more vibrations. The parts that were being produced showed signs of inconsistency in terms of size and shape. Despite these irregularities, the system didn't trigger any alerts. I immediately paused the process due to concerns about the quality of the output. Upon inspection, it was apparent that there might be an issue with the air pressure supply, potentially affecting the precision of the tool's movement. I reported this matter to my supervisor for further investigation and rectification.","{
    ""Activity"": ""Turning & Milling"", 
    ""Machine"": ""Machine 4"", 
    ""Error time and Error date"": ""2012/01/30 10:58"", 
    ""WorkerID"": ""ID4167""
}",Part Misalignment
Case 1,Laser Marking,Machine 7,2012/02/01 08:27:00.000,ID0998,5,2012/02/01 08:27,,,
Case 1,Lapping,Machine 1,2012/02/14 01:15:00.000,ID4882,6,2012/02/14 01:15,,,
Case 1,Lapping,Machine 1,2012/02/14 01:15:00.000,ID4882,7,2012/02/14 01:15,"This logbook entry pertains to an incident that occurred during the Laser Marking activity on Thursday, the 25th of January in the afternoon around twelve fifty-four. I was stationed at Machine 7, with my operator ID being 4-8-8-2. The temperature inside the facility remained steady and comfortable, while the batch number for the markings was 603.

As I initiated the process, I immediately noticed a problem: the feed path that supplies material to the machine appeared jammed, causing an unexpected pause in the production cycle. I attempted to clear the obstruction manually, but the issue persisted. The component being marked displayed signs of irregularities - patterns were not fully formed and the markings appeared faint.

Due to this feed path error, the material could not proceed as planned through the machine, leading to a substantial delay in production. I halted the operation and notified my supervisor for immediate assistance. The affected batch had to be discarded due to insufficient marking quality, and we started a fresh batch while awaiting the resolution of this issue.","{
""Activity"": ""Not specified"",
""Machine"": ""Machine 7"",
""Error time and Error date"": ""25/01/2023 12:54"",
""WorkerID"": ""4-8-8-2""
}",Part Misalignment
Case 1,Lapping,Machine 1,2012/02/14 10:20:00.000,ID4882,8,2012/02/14 10:20,"During the Laser Marking activity on Machine 7 at precisely 10:57 on January 25, 2012, I was operator ID4794. As the process commenced, I observed an unusual issue; the material being worked on didn't appear to be securely clamped within the device as it should have been. Consequently, the laser marking patterns started deviating significantly from their intended design. There were no warning signals from the system, but the markings on the output part showed clear signs of distortion and inconsistency. I immediately halted the process and notified my supervisor to address this anomaly.","{
""Activity"": ""Not specified"",
""Machine"": ""Machine <digits>"",
""Error time and Error date"": ""YYYY/MM/DD HH:MM"",
""WorkerID"": ""ID<digits>""
}",Clamping Error
Case 1,Lapping,Machine 1,2012/02/14 09:38:00.000,ID4882,9,2012/02/14 09:38,"This report pertains to an incident during the Round Grinding activity on the 2nd of January 2012, specifically at four fifty in the morning. The affected machine was the third one in our facility. My operator ID is 4-4-4-5. The ambient temperature was around -1 degrees Celsius, and I had just completed a routine check on the batch tray labeled 'A12'.

During the process, I observed an unusual situation with the air pressure system. Normally, you'd hear the steady hiss of compressed air when grinding, but there was an unexpected fluctuation that made the noise intermittent and irregular. Consequently, the component wasn't being ground evenly, with some areas showing pronounced variations in shape compared to others. I noticed this at approximately four fifty-five, which is when I stopped the process immediately and alerted my supervisor about the issue.","{
""Activity"": ""Lapping"", 
""Machine"": ""Machine 1"", 
""Error time and Error date"": ""2012/02/14 09:38"", 
""WorkerID"": ""ID4882""
}",Part Misalignment
Case 1,Round Grinding,Machine 3,2012/02/14 13:37:00.000,ID4445,10,2012/02/14 13:37,,,
Case 1,Round Grinding,Machine 3,2012/02/14 15:27:00.000,ID4445,11,2012/02/14 15:27,,,
