Case ID,Activity,Resource,Complete Timestamp,Worker ID,original_index,End Time,Error Text,Extracted Info,Category
Case 1,Turning & Milling,Machine 4,2012/01/30 05:43:00.000,ID4932,0,2012/01/30 05:43,"In the Turning & Milling activity on Machine 4, an issue arose at 2012/01/30 05:43. My worker ID is ID4932. As I was working, I noticed that the workpiece was not securely clamped during the process. This resulted in significant vibrations and erratic movement of the tool, causing an uneven finish on the component. The system did not issue any alerts, but the part showed clear signs of deformation. I immediately stopped the machine to prevent further damage and reported the incident to my supervisor for review and corrective measures.","{
""Activity"": ""Turning & Milling"",
""Machine"": ""Machine 4"",
""Error time and Error date"": ""2012/01/30 05:43"",
""WorkerID"": ""ID4932""
}",Part Misalignment
Case 1,Turning & Milling,Machine 4,2012/01/30 06:42:00.000,ID4932,1,2012/01/30 06:42,,,
Case 1,Turning & Milling,Machine 4,2012/01/30 07:21:00.000,ID4167,2,2012/01/30 07:21,"On January 30, 2012, at 07:21 during the Turning & Milling activity on Machine 4, an issue arose. I am worker ID4167 who experienced this anomaly. The machine functioned normally initially; however, as the process progressed, it became evident that the clamped workpiece wasn't securely fastened. This led to significant vibrations during machining, which affected the precision of the operation. Consequently, the final product displayed a noticeable asymmetry and rough edges. Although there were no system alerts, the visible deformity on the piece indicated an error in the clamping process. To prevent further complications, I stopped the process immediately and notified my supervisor about the situation.","{
""Activity"": ""Turning & Milling"",
""Machine"": ""Machine 4"",
""Error time and Error date"": ""2012/01/30 07:21"",
""WorkerID"": ""ID4167""
}",Part Misalignment
Case 1,Turning & Milling,Machine 4,2012/01/30 10:58:00.000,ID4167,3,2012/01/30 10:58,,,
Case 1,Laser Marking,Machine 7,2012/02/01 08:27:00.000,ID0998,5,2012/02/01 08:27,,,
Case 1,Lapping,Machine 1,2012/02/14 01:15:00.000,ID4882,6,2012/02/14 01:15,"During the Lapping process on Machine 1 at 1:15 AM on 14th February 2012, I, worker ID4882, observed an issue. Initially, everything seemed normal, but as the process progressed, I noticed that one part wasn't fitting snugly in its holder, causing an uneven lapping pattern to develop on the surface of the component. By the end of the cycle, there was a clear distortion on the finished part, despite no system alerts. I immediately stopped the machine and reported the matter to my supervisor for further inspection and necessary corrections.","{
    ""Activity"": ""Not specified"",
    ""Machine"": ""Machine 1"",
    ""Error time and Error date"": ""2012/02/14 01:15"",
    ""WorkerID"": ""ID4882""
}",Part Misalignment
Case 1,Lapping,Machine 1,2012/02/14 01:15:00.000,ID4882,7,2012/02/14 01:15,,,
Case 1,Lapping,Machine 1,2012/02/14 10:20:00.000,ID4882,8,2012/02/14 10:20,"During the Turning & Milling operation on Machine 4, I encountered an issue at 2012/03/22 07:57. My worker ID is ID4932. As I was working, I noticed that there was an unusual amount of friction and heat emanating from the machine. The noise produced by the operation also became increasingly louder. Eventually, the cutting tool began to vibrate excessively, causing uneven cuts on the workpiece. Despite no alerts from the system, the overall quality of the parts being produced significantly deteriorated. I immediately stopped the process and alerted the supervisor about the issue, as continued operation could potentially lead to further damage to both the machine and the components we were producing.","{
    ""Activity"": ""Lapping"",
    ""Machine"": ""Machine 1"",
    ""Error time and Error date"": ""2012/02/14 09:38"",
    ""WorkerID"": ""ID4882""
}",Part Misalignment
Case 1,Lapping,Machine 1,2012/02/14 09:38:00.000,ID4882,9,2012/02/14 09:38,"During the Turning & Milling process on Machine 8, an issue was identified at 2012/03/09 10:27. My worker ID is ID4219. As I began the operation, I noticed that the workpiece did not securely clamp into its fixture as usual. This resulted in the workpiece shifting during the process, causing an inconsistent cut pattern on the surface. Despite the machine continuing to operate without any visible alerts, the finished piece exhibited clear signs of misalignment and distortion. I immediately stopped the operation, alerted the supervisor about the situation, and suggested a thorough inspection of the clamping mechanism on Machine 8.","{
    ""Activity"": ""Lapping"",
    ""Machine"": ""Machine 1"",
    ""Error time and Error date"": ""2012/02/14 09:38"",
    ""WorkerID"": ""ID4882""
}",Part Misalignment
Case 1,Round Grinding,Machine 3,2012/02/14 13:37:00.000,ID4445,10,2012/02/14 13:37,"On March 14th, 2012, during the Round Grinding activity at exactly seventeen sixteen in the evening, I encountered an issue on the third machine. My operator code is 4-3-8-5. The room temperature was comfortable and the humidity level was normal, with no concerns regarding the batch or the grinding wheel checks. However, during the grinding process, I noticed that the clamp securing the workpiece was not holding it firmly as expected. As a result, the piece started to wobble, causing an irregular grind pattern on the surface. The piece became misshapen and noticeably out of round. There were no warning signs or alerts from the system, but the final product showed clear signs of an inconsistent grinding process. I immediately stopped the machine and reported the issue to my supervisor for further investigation and correction.","{
  ""Activity"": ""Grinding"",
  ""Machine"": ""Machine 3-16"",
  ""Error time and Error date"": ""2012/03/14 17:00"",
  ""WorkerID"": ""4-3-8-5""
}",Part Misalignment
