Case ID,Activity,Resource,Complete Timestamp,Worker ID,original_index,End Time,Error Text,Extracted Info,Category
Case 1,Turning & Milling,Machine 4,2012/01/30 05:43:00.000,ID4932,0,2012/01/30 05:43,,,
Case 1,Turning & Milling,Machine 4,2012/01/30 06:42:00.000,ID4932,1,2012/01/30 06:42,,,
Case 1,Turning & Milling,Machine 4,2012/01/30 07:21:00.000,ID4167,2,2012/01/30 07:21,,,
Case 1,Turning & Milling,Machine 4,2012/01/30 10:58:00.000,ID4167,3,2012/01/30 10:58,"On 30th January 2012 at 10:58 during the Turning & Milling activity on Machine 4, I was operator ID4167. Initially, everything seemed normal, but then I noticed an unusual occurrence with the cutting tool's efficiency. The machine began to struggle, producing a louder than usual noise and emitting more vibrations. The parts that were being produced showed signs of inconsistency in terms of size and shape. Despite these irregularities, the system didn't trigger any alerts. I immediately paused the process due to concerns about the quality of the output. Upon inspection, it was apparent that there might be an issue with the air pressure supply, potentially affecting the precision of the tool's movement. I reported this matter to my supervisor for further investigation and rectification.","{
""Activity"": ""Turning & Milling"",
""Machine"": ""Machine 4"",
""Error time and Error date"": ""2012/01/30 10:58"",
""WorkerID"": ""ID4167""
}",Part Misalignment
Case 1,Laser Marking,Machine 7,2012/02/01 08:27:00.000,ID0998,5,2012/02/01 08:27,,,
Case 1,Lapping,Machine 1,2012/02/14 01:15:00.000,ID4882,6,2012/02/14 01:15,"While performing the Lapping activity on Machine 1 at around 2:33 PM on March 22, 2012, I was operator ID4718. Initially, the machine seemed to operate smoothly, but I soon noticed an unusual issue - a grinding sound that wasn't typical during the process. As the lapping continued, the component started to heat up excessively. The surface of the part became rough and uneven, with a distinct pattern of wear that was not symmetrical. Unlike previous instances, the system did not trigger any alerts. Upon closer inspection, I found that the lubricant seemed to be depleted, possibly causing the overheating and irregular wear on the component. I immediately halted the process and reported the issue to the supervisor for further investigation and rectification.","{
    ""Activity"": ""Not specified"",
    ""Machine"": ""Machine 1"",
    ""Error time and Error date"": ""2012/03/22 02:33"",
    ""WorkerID"": ""ID4718""
}",Part Misalignment
Case 1,Lapping,Machine 1,2012/02/14 01:15:00.000,ID4882,7,2012/02/14 01:15,,,
Case 1,Lapping,Machine 1,2012/02/14 10:20:00.000,ID4882,8,2012/02/14 10:20,"During the Turning & Milling process on Machine 8, an issue arose at 2012/02/21 11:03. My worker ID is ID4219. As I was working, I noticed that the air pressure from the machine started to fluctuate unexpectedly. This caused the cutting tool to falter and produce rough cuts. The finished product showed signs of inconsistency in depth and shape. Despite the lack of system alerts, it was clear that there was a problem with the machining process due to the irregularities in the final product. I immediately stopped the machine and alerted the supervisor about the air pressure fluctuation for further investigation and correction.","{
    ""Activity"": ""Lapping"",
    ""Machine"": ""Machine 1"",
    ""Error time and Error date"": ""2012/02/14 09:38"",
    ""WorkerID"": ""ID4882""
}",Part Misalignment
Case 1,Lapping,Machine 1,2012/02/14 09:38:00.000,ID4882,9,2012/02/14 09:38,"While conducting Turning & Milling operations on Machine 4 at 2012/03/29 06:40, I, worker ID4932, encountered an issue. The clamp holding the workpiece appeared to have malfunctioned during the process, causing the piece to move irregularly. This resulted in a series of inconsistencies in the machining pattern, with some sections being under-milled and others over-milled. Despite no alerts from the system, it was evident that the final product had severe deformities. I halted the process immediately and notified my supervisor to address the issue with the clamp mechanism on Machine 4.","{
    ""Activity"": ""Lapping"",
    ""Machine"": ""Machine 1"",
    ""Error time and Error date"": ""2012/02/14 09:38"",
    ""WorkerID"": ""ID4882""
}",Part Misalignment
Case 1,Round Grinding,Machine 3,2012/02/14 13:37:00.000,ID4445,10,2012/02/14 13:37,"During the Round Grinding activity on Machine 3, an issue arose at 2012/02/14 13:37. The worker ID involved is ID4445. As I was carrying out the routine process, I noticed that the air pressure seemed unusually low, affecting the efficiency of the grinding wheels. This led to inconsistent results in the rounded edges of the parts being produced. Despite normal readings on the machine's gauges, there was a perceptible decrease in the speed and quality of production. The final product had visible rough spots and inconsistencies that were not typical of our usual output. I halted the process to address this issue and alerted the supervisor for necessary adjustments to the air pressure system.","{
""Activity"": ""Not specified"",
""Machine"": ""Machine 3"",
""Error time and Error date"": ""2012/02/14 13:37"",
""WorkerID"": ""ID4445""
}",Part Misalignment
Case 1,Round Grinding,Machine 3,2012/02/14 15:27:00.000,ID4445,11,2012/02/14 15:27,,,
