Case ID,Activity,Resource,Complete Timestamp,Worker ID,original_index,End Time,Error Text,Extracted Info,Category
Case 1,Turning & Milling,Machine 4,2012/01/30 05:43:00.000,ID4932,0,2012/01/30 05:43,,,
Case 1,Turning & Milling,Machine 4,2012/01/30 06:42:00.000,ID4932,1,2012/01/30 06:42,,,
Case 1,Turning & Milling,Machine 4,2012/01/30 07:21:00.000,ID4167,2,2012/01/30 07:21,,,
Case 1,Turning & Milling,Machine 4,2012/01/30 10:58:00.000,ID4167,3,2012/01/30 10:58,,,
Case 1,Laser Marking,Machine 7,2012/02/01 08:27:00.000,ID0998,5,2012/02/01 08:27,,,
Case 1,Lapping,Machine 1,2012/02/14 01:15:00.000,ID4882,6,2012/02/14 01:15,"On the afternoon of 2012/03/07 at exactly 15:56, during the Round Grinding activity on Machine 3, an unexpected issue arose. Worker ID0420 was performing the task when he observed that the part in question was not properly aligned within its designated spot. As the grinding process progressed, it became evident that the roundness of the component was compromised, with one side significantly larger than the other. Despite the machine operating smoothly and no system alerts, the misalignment led to a clear deformation in the final product. The worker immediately halted the operation and alerted the supervisor for appropriate corrective measures.","{
""Activity"": ""Not specified"",
""Machine"": ""Machine <digits>"",
""Error time and Error date"": ""YYYY/MM/DD HH:MM"",
""WorkerID"": ""ID<digits>""
}",Part Misalignment
Case 1,Lapping,Machine 1,2012/02/14 01:15:00.000,ID4882,7,2012/02/14 01:15,"This logbook entry pertains to an incident that occurred during the Laser Marking activity on Thursday, the 25th of January in the afternoon around twelve fifty-four. I was stationed at Machine 7, with my operator ID being 4-8-8-2. The temperature inside the facility remained steady and comfortable, while the batch number for the markings was 603.

As I initiated the process, I immediately noticed a problem: the feed path that supplies material to the machine appeared jammed, causing an unexpected pause in the production cycle. I attempted to clear the obstruction manually, but the issue persisted. The component being marked displayed signs of irregularities - patterns were not fully formed and the markings appeared faint.

Due to this feed path error, the material could not proceed as planned through the machine, leading to a substantial delay in production. I halted the operation and notified my supervisor for immediate assistance. The affected batch had to be discarded due to insufficient marking quality, and we started a fresh batch while awaiting the resolution of this issue.","{
    ""Activity"": ""Not specified"",
    ""Machine"": ""Machine 7"",
    ""Error time and Error date"": ""2023/01/25 12:50"",
    ""WorkerID"": ""4-8-8-2""
}",Part Misalignment
Case 1,Lapping,Machine 1,2012/02/14 10:20:00.000,ID4882,8,2012/02/14 10:20,"This report pertains to an incident that occurred during the Round Grinding activity on the 21st of March 2012 at approximately twelve o'clock and eight minutes. The second machine was the one involved in this situation. My operator ID is 4-3-8-5. The ambient temperature for the task was a cool 16 degrees, and the grinding wheel was checked before the process started – everything seemed fine. However, as I initiated the round grinding operation, the machine emitted an unusual noise that gradually grew louder. The spindle began to slow down significantly, causing the grinding wheel to spin at an irregular speed. As a result, the part being processed was not shaped as expected, with visible imperfections in its circular profile. I immediately stopped the machine and alerted my supervisor about the situation, as the power supply seemed to be affected, causing the machine to malfunction.","{
""Activity"": ""Lapping"",
""Machine"": ""Machine 1"",
""Error time and Error date"": ""2012/02/14 09:38"",
""WorkerID"": ""ID4882""
}",Part Misalignment
Case 1,Lapping,Machine 1,2012/02/14 09:38:00.000,ID4882,9,2012/02/14 09:38,"During the Turning & Milling process on Machine 9 at approximately 17:55 hours on January 18, 2012, I was operator 4132. Initially, everything seemed normal, but I soon noticed an unusual problem with the machine's air pressure system. The power tool used for milling wasn't responding as expected, and the component I was working on showed signs of uneven cutting. This led to a misshapen part that didn't meet our quality standards. Despite no alerts from the system, the situation was evident due to the irregular shape of the final product. Concerned about this anomaly, I decided to stop the process and immediately notified my supervisor for further investigation and rectification.","{
""Activity"": ""Lapping"",
""Machine"": ""Machine 1"",
""Error time and Error date"": ""2012/02/14 09:38"",
""WorkerID"": ""ID4882""
}",Part Misalignment
Case 1,Round Grinding,Machine 3,2012/02/14 13:37:00.000,ID4445,10,2012/02/14 13:37,"During the Round Grinding activity on Machine 3, an issue arose at 2012/02/14 13:37. The worker ID involved is ID4445. As I was carrying out the routine process, I noticed that the air pressure seemed unusually low, affecting the efficiency of the grinding wheels. This led to inconsistent results in the rounded edges of the parts being produced. Despite normal readings on the machine's gauges, there was a perceptible decrease in the speed and quality of production. The final product had visible rough spots and inconsistencies that were not typical of our usual output. I halted the process to address this issue and alerted the supervisor for necessary adjustments to the air pressure system.","{
    ""Activity"": ""Round Grinding"",
    ""Machine"": ""Machine 3"",
    ""Error time and Error date"": ""2012/02/14 13:37"",
    ""WorkerID"": ""ID4445""
}",Part Misalignment
